name,pwsId,systemType
SHELTER ISLAND SCHOOL,NY5108070,NTNC-Non-community non-transient water system
SHELTER ISLAND SENIOR CITIZENS CENTER,NY5130178,NC-Non-community transient water system
SHINN ESTATE VINEYARDS,NY5130173,NC-Non-community transient water system
SHINNECOCK TENNIS CLUB (FNA SANDY HOLLOW,NY5121447,NC-Non-community transient water system
SILLY LILLY FISHING STATION,NY5121402,NC-Non-community transient water system
SMITHTOWN WD,NY5105656,C-Community water system
SOUTH HARBOR PARK,NY5120789,NC-Non-community transient water system
SOUTH HUNTINGTON WD,NY5103263,C-Community water system
SPEEDWAY #7794 (FNA HESS GENERAL STORE),NY5130129,NC-Non-community transient water system
SPEEDWAY #7805 (FNA HESS MART),NY5121549,NC-Non-community transient water system
SPRING LAKE GOLF RESTAURANT,NY5120896,NC-Non-community transient water system
SPRINGS PIZZA,NY5120475,NC-Non-community transient water system
ST JAMES WD,NY5103266,C-Community water system
STONY BROOK WATER DISTRICT,NY5103698,C-Community water system
STRONG'S YACHT CENTER,NY5120463,NC-Non-community transient water system
SUFFOLK COUNTY WATER AUTHORITY,NY5110526,C-Community water system
SURFSIDE INN,NY5120481,NC-Non-community transient water system
SWAN LAKE GOLF COURSE,NY5121098,NC-Non-community transient water system
SYLVESTER MANOR,NY5130219,NC-Non-community transient water system
THREE MILE MARINA,NY5121510,NC-Non-community transient water system
TIMES REVIEW NEWSPAPER,NY5121508,NC-Non-community transient water system
TOUCH OF VENICE,NY5121104,NC-Non-community transient water system
TOWNLINE BBQ,NY5120146,NC-Non-community transient water system
TWO SOUTH FERRY B & B,NY5130179,NC-Non-community transient water system
VALERO,NY5130212,NC-Non-community transient water system
VARNEYS RESTAURANT,NY5119688,NC-Non-community transient water system
VINE STREET CAFE,NY5130038,NC-Non-community transient water system
WADES BEACH,NY5114403,NC-Non-community transient water system
WAINSCOTT VILLAGE INN,NY5114326,NC-Non-community transient water system
WATERMILL SQUARE ASSOCIATION,NY5120486,NTNC-Non-community non-transient water system
WAVE CREST RESORT,NY5114393,NC-Non-community transient water system
WEST GILGO BEACH ASSOCIATION,NY5110607,C-Community water system
WEST LAKE RACQUET CLUB,NY5130172,NC-Non-community transient water system
WEST NECK BEACH,NY5101584,NC-Non-community transient water system
WEST NECK WATER SUPPLY,NY5110623,C-Community water system
WHALES TALE,NY5130080,NC-Non-community transient water system
WOLFFER ESTATE VINEYARD,NY5130105,NC-Non-community transient water system
WOLFFER ESTATES STABLES,NY5130145,NC-Non-community transient water system
YMCA BROOKHAVEN ROE,NY5121884,NC-Non-community transient water system
